CHS_EVENT_SMAS_HISTORY_ID,CHS_EVENT_SMAS_SAMPLE_DATE,CHR_PCODE,CHR_RESULT_VALUE,CHR_LAB_QUAL,CHR_VALIDATED_YN,CHR_VALIDATION_DATE,CHR_VALIDATOR_QUAL,CHR_VALIDATOR_QUAL_EXPLN,CHR_METHOD_DETECT_LIMIT,CHR_REPORTING_DETECT_LIMIT,CHR_QUANTITATION_LIMIT,CHR_DETECTION_LIMIT_UNIT,CHR_LAB_VALIDATION_LEVEL,CHR_RESULT_COMMENT,CHS_SAMPLE_SOURCE,CHS_PARENT_SAMPLE_CDE,CHS_SAMPLE_DEL_GRP_EQUIS,CHS_SAMPLER,CHS_SAMPLING_COMPANY_CODE,CHS_COMMENT,CHEM_PARAMETER_NAME,CHEM_PARAMETER_UNIT,CHEM_PARAMETER_UNIT_NOSP,CHEM_PARAMETER_FRACTION,CHEM_PARAMETER_SOURCE,CHEM_PARAMETER_NOTES,high_flow_flag,year
O7-DUCH-0.3,10/29/2018,121,0.0351,0,Y,10/22/2021,A,,0.001,NA,0.0038,mg/L,,,,,,UFI,UFI,2018303007,"PHOSPHORUS, TOTAL (AS P)",mg/L,mg/L,TOTAL,LAB,,yes,2018
O7-SCKR-0.1,10/29/2018,121,0.0506,0,Y,10/22/2021,A,,0.001,NA,0.0038,mg/L,,,,,,UFI,UFI,2018303010,"PHOSPHORUS, TOTAL (AS P)",mg/L,mg/L,TOTAL,LAB,,yes,2018
07-OWLI-0.1,11/2/2018,121,0.0231,0,Y,10/22/2021,A,,0.001,NA,0.0038,mg/L,,,,,,UFI,UFI,2018306003,"PHOSPHORUS, TOTAL (AS P)",mg/L,mg/L,TOTAL,LAB,,yes,2018
07-VENE-0.4,11/2/2018,121,0.0526,0,Y,10/22/2021,A,,0.001,NA,0.0038,mg/L,,,,,,UFI,UFI,2018306004,"PHOSPHORUS, TOTAL (AS P)",mg/L,mg/L,TOTAL,LAB,,yes,2018
O7-DUCH-0.3,11/2/2018,121,0.0438,0,Y,10/22/2021,A,,0.001,NA,0.0038,mg/L,,,,,,UFI,UFI,2018306002,"PHOSPHORUS, TOTAL (AS P)",mg/L,mg/L,TOTAL,LAB,,yes,2018
O7-SCKR-0.1,11/2/2018,121,0.0371,0,Y,10/22/2021,A,,0.001,NA,0.0038,mg/L,,,,,,UFI,UFI,2018306005,"PHOSPHORUS, TOTAL (AS P)",mg/L,mg/L,TOTAL,LAB,,yes,2018
07-OWAL_T2-0.1,4/5/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017095006,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2017
07-OWAL_T46-0.1,4/5/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017095017,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2017
07-OWAL_T5-0.2,4/5/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017095016,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2017
07-OWLI-0.1,4/5/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017095018,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2017
07-VENE-0.4,4/5/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017095015,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2017
O7-DUCH-0.3,4/5/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017095007,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2017
O7-SCKR-0.1,4/5/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017095005,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2017
07-OWLI-0.1,5/2/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017122004,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2017
07-VENE-0.4,5/2/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017122003,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2017
O7-DUCH-0.3,5/2/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017122001,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2017
O7-SCKR-0.1,5/2/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017122002,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2017
07-OWAL_T2-0.1,6/6/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017157002,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
07-OWAL_T46-0.1,6/6/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017157009,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
07-OWAL_T5-0.2,6/6/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017157010,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
07-OWLI-0.1,6/6/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017157008,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
07-VENE-0.4,6/6/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017157011,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
O7-DUCH-0.3,6/6/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017157003,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
O7-SCKR-0.1,6/6/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017157001,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
07-OWAL_T2-0.1,7/5/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017186046,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
07-OWAL_T46-0.1,7/5/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017186054,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
07-OWAL_T5-0.2,7/5/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017186055,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
07-OWLI-0.1,7/5/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017186053,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
07-VENE-0.4,7/5/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017186056,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
O7-DUCH-0.3,7/5/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017186047,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
O7-SCKR-0.1,7/5/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017186045,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
07-OWAL_T2-0.1,7/28/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017209002,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
07-OWAL_T46-0.1,7/28/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017209010,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
07-OWAL_T5-0.2,7/28/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017209011,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
07-OWLI-0.1,7/28/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017209009,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
07-VENE-0.4,7/28/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017209012,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
O7-DUCH-0.3,7/28/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017209003,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
O7-SCKR-0.1,7/28/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017209001,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
07-OWAL_T2-0.1,10/30/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017303007,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2017
07-VENE-0.4,10/30/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017303001,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2017
O7-DUCH-0.3,10/30/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017303012,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2017
O7-SCKR-0.1,10/30/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017303004,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2017
07-OWAL_T16-0.4,11/15/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017319010,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
07-OWAL_T5-0.2,11/15/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017319013,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
07-OWAL_T9-0.1,11/15/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017319011,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
07-OWLI-0.1,11/15/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017319012,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
07-VENE-0.4,11/15/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017319014,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
O7-DUCH-0.3,11/15/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017319009,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
O7-SCKR-0.1,11/15/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017319008,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
07-OWAL_T16-0.4,12/1/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017335004,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
07-OWAL_T5-0.2,12/1/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017335006,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
07-OWAL_T9-0.1,12/1/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017335003,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
07-OWLI-0.1,12/1/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017335005,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
07-VENE-0.4,12/1/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017335007,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
O7-DUCH-0.3,12/1/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017335002,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
O7-SCKR-0.1,12/1/2017,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2017335001,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2017
07-OWAL_T46-0.1,7/5/2018,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018186018,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
07-OWLI-0.1,7/5/2018,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018186016,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
07-VENE-0.4,7/5/2018,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018186017,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
O7-DUCH-0.3,7/5/2018,153,,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018186015,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
07-OWLI-0.1,7/25/2018,153,90.9,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018206077,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2018
07-VENE-0.4,7/25/2018,153,5.1,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018206078,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2018
O7-DUCH-0.3,7/25/2018,153,24.7,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018206076,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2018
O7-SCKR-0.1,7/25/2018,153,23.3,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018206079,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2018
07-OWAL_T2-0.1,8/14/2018,153,15,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018226034,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
07-OWAL_T46-0.1,8/14/2018,153,24.4,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018226035,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
07-OWLI-0.1,8/14/2018,153,49.2,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018226031,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
07-VENE-0.4,8/14/2018,153,5.4,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018226032,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
O7-DUCH-0.3,8/14/2018,153,4.6,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018226030,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
O7-SCKR-0.1,8/14/2018,153,41.2,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018226033,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
07-OWAL_T2-0.1,8/17/2018,153,34,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018229084,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
07-OWAL_T2-0.1,8/28/2018,153,2.6,J,Y,10/22/2021,E,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018240049,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
07-OWAL_T46-0.1,8/28/2018,153,6.3,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018240050,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
07-OWLI-0.1,8/28/2018,153,2.4,J,Y,10/22/2021,E,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018240046,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
07-VENE-0.4,8/28/2018,153,NA,U,Y,10/22/2021,U,,1,1,2.5,mg/L,,,,,,UFI,UFI,2018240047,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
O7-DUCH-0.3,8/28/2018,153,2.8,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018240045,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
O7-SCKR-0.1,8/28/2018,153,NA,U,Y,10/22/2021,U,,1,1,2.5,mg/L,,,,,,UFI,UFI,2018240048,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
07-OWLI-0.1,9/10/2018,153,3.6,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018254008,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
07-VENE-0.4,9/10/2018,153,3.4,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018254009,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
O7-DUCH-0.3,9/10/2018,153,25.8,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018254007,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
O7-SCKR-0.1,9/10/2018,153,1.9,J,Y,10/22/2021,E,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018254010,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
07-OWAL_T2-0.1,10/9/2018,153,NA,U,Y,10/22/2021,U,,1,1,2.5,mg/L,,,,,,UFI,UFI,2018282011,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
07-OWAL_T46-0.1,10/9/2018,153,NA,U,Y,10/22/2021,U,,1,1,2.5,mg/L,,,,,,UFI,UFI,2018282012,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
07-OWLI-0.1,10/9/2018,153,4.4,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018282008,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
07-VENE-0.4,10/9/2018,153,5.6,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018282009,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
O7-DUCH-0.3,10/9/2018,153,3.3,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018282007,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
O7-SCKR-0.1,10/9/2018,153,3.4,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018282010,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
07-OWAL_T2-0.1,10/23/2018,153,NA,U,Y,10/22/2021,U,,1,1,2.5,mg/L,,,,,,UFI,UFI,2018296009,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
07-OWAL_T46-0.1,10/23/2018,153,NA,U,Y,10/22/2021,U,,1,1,2.5,mg/L,,,,,,UFI,UFI,2018296010,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
07-OWLI-0.1,10/23/2018,153,1.5,J,Y,10/22/2021,E,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018296006,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
07-VENE-0.4,10/23/2018,153,1.2,J,Y,10/22/2021,E,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018296007,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
O7-DUCH-0.3,10/23/2018,153,1.9,J,Y,10/22/2021,E,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018296005,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
O7-SCKR-0.1,10/23/2018,153,NA,U,Y,10/22/2021,U,,1,1,2.5,mg/L,,,,,,UFI,UFI,2018296008,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,2018
07-OWLI-0.1,10/29/2018,153,6.8,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018303008,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2018
07-VENE-0.4,10/29/2018,153,6.6,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018303009,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2018
O7-DUCH-0.3,10/29/2018,153,10.3,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018303007,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2018
O7-SCKR-0.1,10/29/2018,153,6.8,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018303010,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2018
07-OWLI-0.1,11/2/2018,153,5.8,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018306003,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2018
07-VENE-0.4,11/2/2018,153,14.4,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018306004,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2018
O7-DUCH-0.3,11/2/2018,153,30.5,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018306002,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2018
O7-SCKR-0.1,11/2/2018,153,8.8,0,Y,10/22/2021,A,,1,NA,2.5,mg/L,,,,,,UFI,UFI,2018306005,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,yes,2018
07-BGST-0.1,3/29/2020,98,0.394,0,Y,10/15/2021,A,,0.05,NA,0.1,mg/L,,,,,,CSI,CSI,,"NITROGEN, AMMONIA (AS N)",mg/L,mg/L,TOTAL,LAB,,yes,2020
07-BGST-0.1,4/6/2020,98,NA,U,Y,10/21/2015,U,,0.05,0.05,0.1,mg/L,,,,,,CSI,CSI,,"NITROGEN, AMMONIA (AS N)",mg/L,mg/L,TOTAL,LAB,,,2020
07-BGST-0.1,5/11/2020,98,NA,U,Y,10/26/2009,U,,0.05,0.05,0.1,mg/L,,,,,,CSI,CSI,,"NITROGEN, AMMONIA (AS N)",mg/L,mg/L,TOTAL,LAB,,,2020
07-BGST-0.1,8/5/2020,98,0.12,0,Y,11/1/2003,A,,0.05,NA,0.1,mg/L,,,,,,CSI,CSI,,"NITROGEN, AMMONIA (AS N)",mg/L,mg/L,TOTAL,LAB,,,2020
07-BGST-0.1,10/5/2020,98,NA,U,Y,11/6/1997,U,,0.05,0.05,0.1,mg/L,,,,,,CSI,CSI,,"NITROGEN, AMMONIA (AS N)",mg/L,mg/L,TOTAL,LAB,,,2020
07-CATH-0.6,3/29/2020,98,0.323,0,Y,11/12/1991,A,,0.05,NA,0.1,mg/L,,,,,,CSI,CSI,,"NITROGEN, AMMONIA (AS N)",mg/L,mg/L,TOTAL,LAB,,yes,2020
07-CATH-0.6,4/6/2020,98,NA,U,Y,11/17/1985,U,,0.05,0.05,0.1,mg/L,,,,,,CSI,CSI,,"NITROGEN, AMMONIA (AS N)",mg/L,mg/L,TOTAL,LAB,,,2020
07-CATH-0.6,5/11/2020,98,NA,U,Y,11/23/1979,U,,0.05,0.05,0.1,mg/L,,,,,,CSI,CSI,,"NITROGEN, AMMONIA (AS N)",mg/L,mg/L,TOTAL,LAB,,,2020
07-CATH-0.6,8/5/2020,98,NA,U,Y,11/28/1973,U,,0.05,0.05,0.1,mg/L,,,,,,CSI,CSI,,"NITROGEN, AMMONIA (AS N)",mg/L,mg/L,TOTAL,LAB,,,2020
07-CATH-0.6,10/5/2020,98,NA,U,Y,12/4/1967,U,,0.05,0.05,0.1,mg/L,,,,,,CSI,CSI,,"NITROGEN, AMMONIA (AS N)",mg/L,mg/L,TOTAL,LAB,,,2020
07-CATH-0.6,10/30/2020,98,0.364,0,Y,12/9/1961,A,,0.05,NA,0.1,mg/L,,,,,,CSI,CSI,,"NITROGEN, AMMONIA (AS N)",mg/L,mg/L,TOTAL,LAB,,yes,2020
07-KASH-0.3,3/29/2020,98,0.789,0,Y,12/15/1955,A,,0.05,NA,0.1,mg/L,,,,,,CSI,CSI,,"NITROGEN, AMMONIA (AS N)",mg/L,mg/L,TOTAL,LAB,,yes,2020
07-KASH-0.3,4/6/2020,98,NA,U,Y,12/20/1949,U,,0.05,0.05,0.1,mg/L,,,,,,CSI,CSI,,"NITROGEN, AMMONIA (AS N)",mg/L,mg/L,TOTAL,LAB,,,2020
07-KASH-0.3,5/11/2020,98,NA,U,Y,12/26/1943,U,,0.05,0.05,0.1,mg/L,,,,,,CSI,CSI,,"NITROGEN, AMMONIA (AS N)",mg/L,mg/L,TOTAL,LAB,,,2020
07-KASH-0.3,5/20/2020,98,NA,U,Y,12/31/1937,U,,0.05,0.05,0.1,mg/L,,,,,,CSI,CSI,,"NITROGEN, AMMONIA (AS N)",mg/L,mg/L,TOTAL,LAB,,,2020
07-KASH-0.3,6/8/2020,98,NA,U,Y,1/6/1932,U,,0.05,0.05,0.1,mg/L,,,,,,CSI,CSI,,"NITROGEN, AMMONIA (AS N)",mg/L,mg/L,TOTAL,LAB,,,2020
